name,author,translator,publisher
رهبران آخر غذا می خورند,سایمون سینک,شایسته دستخط گشنی,نشر مات
باشگاه پنج صبحی ها,رابین شارما,مهدیه شعبانی فقفوری,نشر مات
فلسفه ذهن,کیت مسلین,مهدی ذاکری,انتشارات علمی و فرهنگی
آواز زمین,بابک احمدی,,نشر مرکز
هفت عادت مردمان موثر,استیون کاوی,پریسا قشقائیان,نشر مات
مجموعه انگیزشی,مجموعه نويسندگان,گروه مترجمان,نشر مات
۱۳ کاری که افراد هوشمند انجام نمی دهند,ایمی مورین,معصومه عامری,نشر مات
از صفر به یک,پیتر تیل,معصومه بیشیوه مقدم,نشر مات
سقلمه,کاس آر. سانستین $ ریچارد. اچ تیلر,معصومه عامری,نشر مات
ابراهیم (ع),حسین فتاحی,,انتشارات قدیانی
آقای هنشاو عزیز,بورلی کلی یری,پروین علی پور,نشر افق
بازی با وسایل رفت و آمد,سامی هریت زفریت,گروه ترجمه شهر قلم,انتشارات شهر قلم
برلین، الکساندر پلاتس,آلفرد دوبلین,علی اصغر حداد,نشر لاهیتا
مرجع روان درمانی پویشی فشرده و کوتاه مدت,نت کن,علیرضا طهماسب,انتشارات بینش نو
سوفی و طوفان,ویلما کاستتی $ مونیکا رینالدینی,کیوان رحیمیان,انتشارات اختران
سوفی و لباس قرمز,ویلما کاستتی $ مونیکا رینالدینی,کیوان رحیمیان,انتشارات اختران
راه مردم - ۱۳۹۵ يکشنبه ۲۸ آذر,,,روزنامه راه مردم
روز دلپذیر سوفی,ویلما کاستتی $ مونیکا رینالدینی,کیوان رحیمیان,انتشارات اختران
چارلی و قصه شنل قرمزی,ویلما کاستتی $ مونیکا رینالدینی,کیوان رحیمیان,انتشارات اختران
عصر حجر پرخطر,تری دیری,پیمان اسماعیلیان,نشر افق
گامبی وزیر,والتر تویس,نیکی فرخوی,انتشارات بهجت
اسرار خود هیپنوتیزم,صمد ولیزاده,,انتشارات چلچله
كا. گ. ب دولتی در دولت,یوگنیا آلباتس,مهدی پرتوی آملی,گروه انتشاراتی ققنوس
مهر پنجم,فرنتس شانتا,کمال ظاهری,نشر چشمه
A Streetcar Named Desire,تنسی ویلیامز,,نشر معیار علم
قرآن کریم,حسین الهی قمشه‌ای,,انتشارات فارابی
نخستین مسلمانان در اروپا,برنارد  لوئیس,محمد قائد,كارنامه
روزنامه صبح نو ـ شماره ۱۴۴ ـ  یکشنبه ۲۸ آذر ۱۳۹۵,,,روزنامه صبح نو
ماجرای عجیب بنجامین باتن,اسکات  فیتز جرالد,فرشید عطایی,نشر آموت
مجموعه آرمنته جن زده (پنج جلدی),انجی سیج,مهرداد مهدویان,نشر افق
آیین ها و نمادهای تشرف,میرچا الیاده,محمدکاظم مهاجری,بنگاه ترجمه و نشر کتاب پارسه
آسیاب، بچرخ!,سرور کتبی,,کانون پرورش فکری کودکان و نوجوانان
قیچی، مقوا، چسب، بلدی بسازی؟ بالگرد,جمعی از نویسندگان,,انتشارات قدیانی
مدیریت شهری (سه جلدی),غلامرضا کاظمیان $ مجموعه نويسندگان,,نشر تيسا
خیابان ولی عصر تهران,گروه نویسندگان $ کاوه فولادی نسب,,نشر ثالث
گزینه اشعار فریدون مشیری,فریدون مشیری,,انتشارات مروارید
واقع نگری,هنس روسلینگ,علی کاظمیان,هفته‌نامه کرگدن
خلاقیت، فعالیت، سرگرمی (جلد سوم),هانا زورنسن,فرزانه کریمی,انتشارات قدیانی
آفتاب یزد - ۲۸ آذر ۱۳۹۵,,,روزنامه آفتاب یزد
اسرار پناهگاه اژدها,براندون مال,میلاد فشتمی,انتشارات بهنام
پسر نپتون,ریک ریوردن,فرزام حبیبی اصفهانی,انتشارات بهنام
جانوران اقیانوس از سر تا دم,استیسی ردریک,فروغ فرجود,انتشارات فاطمی
Attack on Titan (Vol. 2),هاجیمه ایسایما,,نشر معیار علم
شهر زیبا (دو جلدی),دریا دلنواز (دربندی),,نشر علی
اطلس جغرافی جهان برای نوجوانان,محمود معافی,محمود امامی,انتشارات قدیانی
بازاریابی عصبی,لئون زوراویکی,کامبیز حیدرزاده $ حسین علی سلطانی,نشر علم
ای. جی و تخم مرغ طلایی,دن گاتمن,مونا قائمی,انتشارات گام
عشق و نفرت,ویلیام شایرر,گیتی خوشدل,انتشارات شرکت کتاب هرمس
The Seagull,آنتوان چخوف,,نشر معیار علم
ابتکار - ۲۸ آذر ۱۳۹۵,,,روزنامه ابتکار
اولین خون,رجک وارنر شیفر,محمد آثار,انتشارات علمی و فرهنگی
مغز شما یک ماشین زمان است,دین بوئونومانو,یاشار مجتهدزاده,سبزان
آشوب در موزه,کیت پنکهرست,ریحانه جعفری,نشر افق
هملت,ویلیام شکسپیر,سپیده مرویان,انتشارات نودا
پرهام لطیف و نازه,مصطفی رحماندوست,,نشر جابیرو
کلاه آبی، کلاه سبز,ساندرا بوینتون,مریم هاشم پور,نشر افق
تفکر، پژوهش (جلد دوم),امیرهوشنگ اقبال‌پور,,انتشارات بین‌المللی آبرنگ
جادوی معماها,جمعی از نویسندگان,امیرحسین میرزائیان,ذکر
تفکر پژوهش (جلد اول),امیرهوشنگ اقبال‌پور,,انتشارات بین‌المللی آبرنگ
وطن امروز - ۱۳۹۵ يکشنبه ۲۸ آذر,,,روزنامه وطن امروز
جان جان,جلال الدین محمدبن محمد مولوی,رینولد الین نیکلسون $ حسن لاهوتی,نامک
ماجراجویان کهکشان؛ زامبی های اورانوس,تامی دونباواند,امیرحسین میرزائیان,ذکر
ماجراجویان کهکشان؛ سکوت زحل,تامی دونباواند,امیرحسین میرزائیان,ذکر
ماجراجویان کهکشان؛ هیولاهای گلی مریخ,تامی دونباواند,امیرحسین میرزائیان,ذکر
فروشندگان بزرگ چگونه عمل می کنند؟,مایکل تی بازورث $ بن زولان,امیرمصطفی اعرابی‌پور,انتشارات بازاریابی
کتاب یقین,مارتین لینگز,زهره حاجی میرصادقی,انتشارات شرکت کتاب هرمس
آموزش ضرب باب اسفنجی,استیو هلینبرگ,سجاد قدیانی,انتشارات برف
گوساله,ناتالی بلینو $ امیلی بومون,راضیه خوئینی,انتشارات قدیانی
قوانین مغز برای کودکان,جان مدینا,زهره احمدی,انتشارات طرح نقد
خانه فیوری ها (جلد اول),مدلین روو,فرنوش فرجادی راد,نشر باژ
وقایع اتفاقیه - ۱۳۹۵/۰۹/۲۸,,,روزنامه وقایع اتفاقیه
خبر به دورترین نقطه جهان برسد,نجمه زارع,,نشر نیماژ
قرار ملاقات,هرتا مولر,مهرداد وثوقی,انتشارات مروارید
